T,P,rho_L,rho_V,u_L,u_V,h_L,h_V,s_L,s_V
237.52075450500195,1092649.1154426155,1058.871905156257,28.279803609345763,92867.42721228368,359331.92127470445,93899.32645346825,397969.00413908187,442.324478517744,1722.5059865265946
237.7716376277103,1102010.5308232056,1057.9468861986015,28.5190605236538,93327.79657855946,359389.87375734793,94369.4467267845,398031.06707117375,444.2654962954902,1721.3800561903324
238.02252075041864,1111430.871870331,1057.0203985487535,28.75994858489014,93788.44031673977,359447.39648644533,94839.91564625646,398092.4889347069,446.2056658568445,1720.2555848829065
238.273403873127,1120910.3630591226,1056.0924338113216,29.002477591638186,94249.36015527329,359504.48701028567,95310.73539779204,398153.2665677361,448.1449967560766,1719.132552426359
238.52428699583533,1130449.229113445,1055.1629835213994,29.246657420093005,94710.55783479312,359561.1428565901,95781.90818233886,398213.39678345434,450.0834985742557,1718.010938627334
238.77517011854366,1140047.6950068537,1054.2320391436447,29.49249802508115,95172.03510829159,359617.3615322515,96253.43621608995,398272.8763698664,452.02118091994635,1716.89072327577
239.02605324125201,1149705.9859635874,1053.2995920713452,29.74000944109696,95633.79374129797,359673.14052307105,96725.32173069214,398331.70208945835,453.95805342991565,1715.7718861435862
239.27693636396035,1159424.327459601,1052.3656336254671,29.989201783355846,96095.83551205794,359728.47729349084,97197.56697345608,398389.8706788621,455.8941257698464,1714.6544069833565
239.5278194866687,1169202.9452236504,1051.4301550536898,30.240085248865398,96558.16221171714,359783.3692863205,97670.17420757229,398447.37884851306,457.8294076350649,1713.5382655269595
239.77870260937704,1179042.065238407,1050.49314752942,30.492670117513732,97020.77564450722,359837.81392246194,98143.1457123285,398504.22328230384,459.7639087512756,1712.4234414842265
240.02958573208537,1188941.9137416289,1049.5546021507932,30.74696675317645,97483.67762793449,359891.80860062735,98616.48378333158,398560.40063723194,461.6976388753052,1711.3099145415642
240.28046885479372,1198902.7172273656,1048.6145099396547,31.002985604841776,97946.86999297357,359945.35069705395,99090.19073273381,398615.90754304145,463.6306077958637,1710.1976643605694
240.53135197750208,1208924.7024472123,1047.6728618405261,31.26073720775458,98410.35458426145,359998.4375652135,99564.2688894614,398670.7406018586,465.5628253343067,1709.0866705766277
240.7822351002104,1219008.0964116063,1046.7296487195501,31.520232184579815,98874.13326029712,360051.0665355173,100038.72059944736,398724.89638782275,467.49430134541774,1707.97691279749
241.03311822291874,1229153.1263911754,1045.7848613634203,31.78148124658552,99338.20789364446,360103.234915016,100513.54822587008,398778.3714467102,469.42504571819956,1706.8683706018403
241.2840013456271,1239360.0199181247,1044.8384904782909,32.04449519484582,99802.58037113665,360154.93998709484,100988.75414939316,398831.16229555133,471.3550683766708,1705.7610235378431
241.53488446833543,1249629.0047876693,1043.8905266886668,32.30928492146435,100267.25259408503,360206.1790111637,101464.34076840914,398883.2654222433,473.28437928068155,1704.6548511216768
241.7857675910438,1259960.3090595251,1042.940960536275,32.57586141081876,100732.2264784943,360256.9492223416,101940.31049929248,398934.67728515423,475.21298842674463,1703.5498328360402
242.03665071375212,1270354.1610594327,1041.9897824789152,32.84423574082627,101197.50395527598,360307.2478311362,102416.6657766496,398985.39431272243,477.14090584886617,1702.4459481286572
242.28753383646045,1280810.7893807418,1041.036982889292,33.114419084231244,101663.08697046986,360357.07202311803,102893.40905357798,399035.4129030474,479.0681416193985,1701.3431764107474
242.5384169591688,1291330.4228860387,1040.0825520538215,33.38642270991481,102128.97748546777,360406.4189585886,103370.54280192872,399084.7294234755,480.99470584990877,1700.2414970554862
242.78930008187714,1301913.2907088182,1039.126480171424,33.66025798422713,102595.17747724165,360455.285772244,103848.06951257316,399133.34021017724,482.9206086920496,1699.1408893964447
243.0401832045855,1312559.6222552224,1038.1687573522881,33.93593637234306,103061.68893857446,360503.6695728309,104325.9916956741,399181.2415677185,484.8458603384553,1698.0413327260078
243.29106632729383,1323269.6472058066,1037.2093736166162,34.21346943964112,103528.5138782964,360551.5674427988,104804.31188096161,399228.4297686234,486.7704710236419,1696.9428062937736
243.54194945000216,1334043.59551738,1036.2483188933452,34.49286885310703,103995.65432152587,360598.9764379443,105283.03261801548,399274.9010529307,488.69445102493313,1695.8452893049307
243.79283257271052,1344881.6974248835,1035.2855830188464,34.774146382761586,104463.11230991229,360645.8935870505,105762.15647654986,399320.65162774175,490.6178106633873,1694.7487609186155
244.04371569541885,1355784.18344332,1034.3211557356005,35.05731390311374,104930.88990188495,360692.3158915198,106241.68604670398,399365.67766676116,492.54056030474777,1693.653200246246
244.2945988181272,1366751.2843697527,1033.3550266908464,35.34238339463978,105398.98917290664,360738.2403249997,106721.6239393395,399409.9753098291,494.4627103604102,1692.558586349836
244.54548194083554,1377783.2312853367,1032.3871854352092,35.62936694528829,105867.41221573029,360783.66383300244,107201.97278634048,399453.5406624457,496.38427128839686,1691.4648982402834
244.79636506354387,1388880.2555574242,1031.4176214212991,35.91827675201248,106336.16114066188,360828.5833325189,107682.73524092128,399496.36979528685,498.3052535943562,1690.3721148756365
245.04724818625223,1400042.5888417151,1030.4463240022862,36.20912512232963,106805.23807582757,360872.9957116231,108163.91397793914,399538.45874371193,500.22566783257366,1689.280215159334
245.29813130896056,1411270.4630844616,1029.4732824304494,36.5019244759086,107274.64516744351,360916.89782907255,108645.51169420988,399579.80350726226,502.14552460699656,1688.189177938426
245.54901443166892,1422564.1105247436,1028.498485855695,36.796687346186395,107744.38458009536,360960.28651389945,109127.53110883432,399620.40004915156,504.0648345722875,1687.0989820017612
245.79989755437725,1433923.7636967818,1027.5219233240523,37.093426382013384,108214.45849701788,361003.1585649952,109609.97496352588,399660.24429574586,505.98360843487933,1686.0096060781586
246.05078067708558,1445349.655432331,1026.5435837761372,37.392154349329175,108684.86912038225,361045.51075068745,110092.84602294643,399699.3321360353,507.90185695406075,1684.9210288345403
246.30166379979394,1456842.0188631183,1025.5634560455871,37.69288413286862,109155.61867158966,361087.3398083096,110576.14707504936,399737.6594210965,509.81959094307695,1683.833228874048
246.55254692250227,1468401.0874233409,1024.5815288574688,37.99562873789918,109626.70939156662,361128.64244376187,111059.88093142539,399775.221963544,511.7368212702416,1682.746184734126
